Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2932;Leipzig/Halle;TMK;13.04.1945;31.10.1945;202;Kriegsjahre;eor;                                                                                                                                       
2932;Leipzig/Halle;TMK;01.04.1948;31.05.1948;61;;eor;                                                                                                                                                   
2932;Leipzig/Halle;TMK;26.04.1950;30.04.1972;8041;Station aufgeloest;eor;                                                                                                                               
2932;Leipzig/Halle;TXK;13.04.1945;31.10.1945;202;Kriegsjahre;eor;                                                                                                                                       
2932;Leipzig/Halle;TXK;01.04.1948;31.05.1948;61;;eor;                                                                                                                                                   
2932;Leipzig/Halle;TXK;27.04.1950;30.04.1972;8040;Station aufgeloest;eor;                                                                                                                               
2932;Leipzig/Halle;TNK;13.04.1945;31.10.1945;202;Kriegsjahre;eor;                                                                                                                                       
2932;Leipzig/Halle;TNK;01.04.1948;31.05.1948;61;;eor;                                                                                                                                                   
2932;Leipzig/Halle;TNK;27.04.1950;30.04.1972;8040;Station aufgeloest;eor;                                                                                                                               
2932;Leipzig/Halle;TGK;24.05.1934;26.05.1934;3;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;28.05.1934;28.05.1934;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;30.05.1934;30.05.1934;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;01.06.1934;02.06.1934;2;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;04.06.1934;05.06.1934;2;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;01.03.1945;31.03.1945;31;Kriegsjahre;eor;                                                                                                                                        
2932;Leipzig/Halle;TGK;13.04.1945;31.12.1947;993;;eor;                                                                                                                                                  
2932;Leipzig/Halle;TGK;02.01.1948;02.01.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;22.01.1948;22.01.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;31.01.1948;31.01.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;04.02.1948;04.02.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;01.04.1948;31.05.1948;61;;eor;                                                                                                                                                   
2932;Leipzig/Halle;TGK;04.08.1948;04.08.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;30.10.1948;30.10.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;14.11.1948;14.11.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;28.11.1948;28.11.1948;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;27.02.1949;27.02.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;05.04.1949;05.04.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;29.04.1949;29.04.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;21.05.1949;21.05.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;31.05.1949;31.05.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;30.06.1949;30.06.1949;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;06.01.1950;06.01.1950;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;12.01.1950;12.01.1950;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;27.03.1950;27.03.1950;1;;eor;                                                                                                                                                    
2932;Leipzig/Halle;TGK;27.04.1950;30.04.1972;8040;Station aufgeloest;eor;                                                                                                                               
2932;Leipzig/Halle;PM;13.04.1945;31.10.1945;202;Kriegsjahre;eor;                                                                                                                                        
2932;Leipzig/Halle;PM;03.01.1948;23.01.1948;21;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;26.01.1948;26.01.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;28.01.1948;07.02.1948;11;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;09.02.1948;10.02.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.02.1948;16.02.1948;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;18.02.1948;19.02.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.02.1948;24.02.1948;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;26.02.1948;27.02.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.02.1948;01.03.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;05.03.1948;06.03.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.03.1948;10.03.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.03.1948;12.03.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.03.1948;26.03.1948;13;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;28.03.1948;30.03.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;01.04.1948;01.06.1948;62;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;04.06.1948;05.06.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.06.1948;19.06.1948;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.06.1948;23.06.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;27.06.1948;28.06.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;02.07.1948;08.07.1948;7;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.07.1948;13.07.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;17.07.1948;19.07.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.07.1948;22.07.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.07.1948;25.07.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;27.07.1948;28.07.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;01.08.1948;03.08.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;07.08.1948;09.08.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.08.1948;12.08.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.08.1948;15.08.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;17.08.1948;20.08.1948;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.08.1948;27.08.1948;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.08.1948;29.08.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.08.1948;01.09.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;03.09.1948;03.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;06.09.1948;07.09.1948;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.09.1948;12.09.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.09.1948;16.09.1948;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.09.1948;20.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;23.09.1948;23.09.1948;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.09.1948;03.10.1948;5;;eor;                                                                                                                                                     
